supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
realme,RMX5074,2301485,SMARTPHONE,A,B,3.59,2025-04-01,24,6,5130,3687,16,1600,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2.5,MOHS_5,C,90,3.75,3.6,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
HMD,TA-1640,2245850,SMARTPHONE,A,A,4.02,2025-04-14,36,5,4900,3673,8,800,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_7,A,270,4.1,5,4,PRIORITY,NO_COST,https://www.hmd.com/en_int/self-repair,https://www.hmd.com/en_int/self-repair
Blackview,BL9000,2394262,SMARTPHONE,B,C,2.79,2025-06-20,24,5,4400,5226,8,800,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_7,A,271,2.65,4.3,3.9,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
Samsung,SM-A165F/DSB,2302934,SMARTPHONE,B,C,3.18,2024-11-08,24,5,4860,2710,12,1200,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,2.1,3.1,3.6,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
Fairphone,Fairphone 5 5G - Model: FP5,2378858,SMARTPHONE,B,A,4.37,2023-08-30,36,8,4080,2160,13,1300,True,27,USB_C,ANDROID,False,IP55,DUST_PROTECTED,JETTING,,MOHS_5,A,300,5,4.5,2.5,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.fairphone.com/en/2023/11/03/repairing-the-fairphone-5/, https://shop.fairphone.com/spare-parts	
FOSSIBOT,F109,2390316,SMARTPHONE,A,C,3.24,2025-06-17,12,5,10600,7125,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.25,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,C65,2384186,SMARTPHONE,A,B,3.37,2025-06-10,12,5,5150,3329,10,1000,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,A,270,3.55,2.6,3.95,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Fairphone,The Fairphone (Gen.6) Model: FP6,2372958,SMARTPHONE,A,A,4.77,2025-06-25,36,8,4315,3232,10,1000,True,27,USB_C,ANDROID,False,IP55,DUST_PROTECTED,JETTING,,MOHS_6,A,300,5,4.5,5,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.fairphone.com/tutorials,https://shop.fairphone.com/shop/category/spare-parts-4?category=4
motorola,razr 60 (XT2553-1),2270815,SMARTPHONE,A,B,3.63,2025-05-24,24,6,4274,2708,10,1000,True,30,USB_C,ANDROID,True,IP48,MORE_THAN_1MM,CONT_IMMERSION,1.5,MOHS_4,C,70,2.4,3.9,4.3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
OUKITEL,WP23 Plus,2394448,SMARTPHONE,C,B,3.94,2025-06-20,84,5,10600,5635,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,B,252,3.2,4.2,2.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.oukitel.com,https://www.oukitel.com
Samsung,SM-S937B/DS,2284553,SMARTPHONE,A,C,3.16,2025-04-30,24,5,3786,2405,20,2000,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.6,3.1,2.65,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
Redmi,24115RA8EG,2305579,SMARTPHONE,B,C,2.61,2025-06-20,12,5,4990,3009,10,1000,False,99,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,C,90,3,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
realme,RMX5061,2309651,SMARTPHONE,A,B,3.4,2025-05-26,24,6,3425,4732,8,800,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,B,180,3.05,3.4,3.2,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
"Guangzhou Shangke Information Technology Co., Ltd.",TLC006,2387906,SMARTPHONE,F,B,3.52,2025-06-13,12,5,8000,5870,8,800,False,10,USB_C,ANDROID,False,IP42,MORE_THAN_1MM,SPRAY_LESS_THAN_15_DEGREES,,MOHS_5,E,52,4.1,2.7,2.95,PRIORITY,NO_COST,/,/
ulefone,Note 18 Pro,2406324,SMARTPHONE,B,B,3.4,2024-12-11,24,5,5450,3156,10,1000,False,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,C,103,3.2,2.1,4.25,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
FOSSIBOT,F101 Pro,2396984,SMARTPHONE,C,C,3.18,2025-06-24,12,5,10600,4935,11,1100,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,3.05,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
nubia,NX732J,2335060,SMARTPHONE,C,C,3.3,2025-04-01,24,5,4225,2214,10,1000,True,33,USB_C,ANDROID,True,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,C,70,3.1,2.95,3.7,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/nubia/nubiaflip25G,https://www.ztedevices.com/en/support/service-center.html
OnePlus,CPH2653,2259715,SMARTPHONE,A,B,3.71,2025-01-07,24,6,2920,3696,10,1000,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,D,45,2.85,4,3,PRIORITY,NO_COST,https://service.oneplus.com/ie/search/search-detail?id=2210110,https://service.oneplus.com/ie/search/search-detail?id=2210110
OUKITEL,WP33 Pro,2378093,SMARTPHONE,B,C,3.13,2025-06-04,12,5,22000,9999,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.55,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
IIIF150,Action A5Pro,2387944,SMARTPHONE,B,B,3.43,2025-06-13,12,5,5100,3005,8,800,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,C,90,3.8,2.6,3.95,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen Redbeat Technology Co., LTD",D5,2398524,SMARTPHONE,C,C,2.67,2025-06-25,24,5,5000,2428,8,800,True,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,D,50,2.1,3.8,4.5,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
DOOGEE,S118 Pro,2406186,SMARTPHONE,D,C,3.23,2025-07-03,12,5,15500,6326,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.25,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
CROSSCALL,STELLAR-M6,2361490,SMARTPHONE,A,B,3.42,2024-09-04,60,5,4330,3387,10,1000,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.9,3,4,PRIORITY,NO_COST,https://www.crosscall.com/fr_FR/userguides/,https://www.crosscall.com/fr_FR/pieces-detachees.html
motorola,g05 (XT2523-3),2208423,SMARTPHONE,A,B,3.39,2024-12-22,60,5,5100,3622,10,1000,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_6,B,180,2.3,3.4,4.35,PRIORITY,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
Samsung,SM-A366B/DS,2301641,SMARTPHONE,C,C,3.19,2025-02-07,24,5,4905,2488,20,2000,True,10,USB_C,ANDROID,False,IP67,DUST_TIGHT,TEMP_IMMERSION,,MOHS_5,C,90,2.65,3.1,2.8,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
Xiaomi,25010PN30G,2303458,SMARTPHONE,A,C,2.61,2025-06-20,12,5,5270,3538,10,1000,False,90,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,C,90,3,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
OUKITEL,C51,2395809,SMARTPHONE,B,C,3.27,2025-06-23,12,5,5150,2916,10,1000,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,A,270,3.45,2.6,3.45,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Blade20 Pro Max,2402032,SMARTPHONE,C,C,3.16,2025-06-28,12,5,10300,5066,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
UMIDIGI,PG4RB100A,2394266,SMARTPHONE,C,B,3.44,2025-06-20,12,5,5000,2644,16,1600,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.8,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Guangzhou Shangke Information Technology Co., Ltd.",TLA001,2386872,SMARTPHONE,G,B,3.91,2025-06-12,12,5,10000,5238,8,800,False,10,USB_C,ANDROID,False,IP42,MORE_THAN_1MM,SPRAY_LESS_THAN_15_DEGREES,,MOHS_5,E,52,4.3,3.9,4,PRIORITY,NO_COST,/,/
OPPO,CPH2727,2316709,SMARTPHONE,A,B,3.4,2025-07-01,24,6,5860,3843,16,1600,True,10,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_4,A,270,2.7,4.3,3,PRIORITY,NO_COST,https://support.oppo.com/en/answer/?aid=2204306,https://support.oppo.com/en/answer/?aid=2204306
realme,RMX5070,2290314,SMARTPHONE,A,B,3.59,2025-03-01,24,6,5860,4212,14,1400,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2.5,MOHS_5,C,90,3.75,3.6,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
Samsung,SM-S936B/DS,2339793,SMARTPHONE,B,C,3.23,2024-12-24,24,5,4755,2618,20,2000,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.9,3.1,2.65,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
DOOGEE,Blade10 Ultra,2391809,SMARTPHONE,B,B,3.4,2025-06-18,12,5,5150,3050,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.8,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP28 s,2394462,SMARTPHONE,C,B,3.94,2025-06-20,84,5,10600,5150,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.2,4.2,2.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.oukitel.com,https://www.oukitel.com
Google,GEC77 ,2191508,SMARTPHONE,A,C,3.39,2025-06-17,24,7,4558,3044,10,1000,False,7,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,2.8,1.2,1.75,PRIORITY,NO_COST,g.co/pixelrepair,g.co/pixelrepair
OUKITEL,WP36 Pro,2356897,SMARTPHONE,D,C,3.09,2025-05-13,12,5,10600,4538,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.15,3.2,4.15,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Blade20 Max,2402027,SMARTPHONE,C,C,3.18,2025-06-28,12,5,10300,5112,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.7,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,S200X,2391847,SMARTPHONE,B,C,3.2,2025-06-18,12,5,10100,5913,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OPPO,CPH2735,2284610,SMARTPHONE,A,B,3.82,2025-07-01,24,6,5860,5105,16,1600,True,10,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_4,A,270,3.15,4.2,3,PRIORITY,NO_COST,https://support.oppo.com/en/answer/?aid=2204306,https://support.oppo.com/en/answer/?aid=2204306
Google,GUR25,2191507,SMARTPHONE,A,B,3.5,2025-06-17,24,7,4558,2952,10,1000,False,7,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,3.25,1.2,1.75,PRIORITY,NO_COST,g.co/pixelrepair,g.co/pixelrepair
nubia,Z2463N,2351754,SMARTPHONE,C,B,3.41,2025-03-25,24,5,4930,2441,8,800,True,27,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,45,2.75,3.2,4,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/nubia/nubia-focus-2-ultra-5g,https://www.ztedevices.com/en/support/service-center.html
ulefone,Power Armor 18T Ultra,2393880,SMARTPHONE,B,C,3.13,2023-11-08,24,5,9600,5310,10,1000,False,66,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.2,2.2,4,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
UMIDIGI,PG5FBN10G,2398356,SMARTPHONE,B,B,3.37,2025-06-25,12,5,5200,3193,14,1400,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
realme,RMX5051,2259375,SMARTPHONE,A,B,3.75,2025-03-10,24,6,5860,4679,10,1000,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,B,180,3.6,5,4,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
DOOGEE,V Max Pro,2406205,SMARTPHONE,D,C,3.16,2025-07-03,12,5,22000,8818,13,1300,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
realme,RMX3834,2398210,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,DK10,2406291,SMARTPHONE,G,C,3.18,2025-07-03,12,5,5150,2231,11,1100,False,99,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,A,270,3,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Blade GT Play,2406319,SMARTPHONE,E,C,3.26,2025-07-03,12,5,5800,2155,14,1400,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.1,2.6,4,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
SPC,DISCOVERY 3 PRO - 2528,2275762,SMARTPHONE,C,B,3.35,2025-03-04,36,5,4900,2246,8,800,False,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_6,D,89,3.56,2.59,2.31,PRIORITY,NO_COST,https://support.spc.es,https://repair.spc.es/
AODOEU,J28,2404458,SMARTPHONE,F,D,3.27,2025-07-01,1,5,2400,781,8,800,False,10,USB_C,ANDROID,False,IP20,TOUCH_FINGERS,NO_PROTECTION,,MOHS_4,C,90,4.1,2.6,4.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,-,-
Blackview,BV9300 Pro,2394730,SMARTPHONE,B,C,2.68,2025-06-20,24,5,15080,8787,8,800,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_7,A,274,1.85,4.7,4.1,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
Unihertz,Jelly 2E,2396931,SMARTPHONE,A,C,3.24,2025-06-24,36,5,2000,1642,9,900,False,7,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,270,2.95,3,3.7,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,N/A,N/A
realme,RMX5061 Dream Edition,2390948,SMARTPHONE,A,B,3.4,2025-05-26,24,6,3425,4627,8,800,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,B,180,3.05,3.4,3.2,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
OUKITEL,WP100,2384166,SMARTPHONE,B,C,3.11,2025-06-10,12,5,33000,9999,14,1400,False,66,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.5,2.6,4,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
vivo,V2441,2220119,SMARTPHONE,B,B,3.49,2025-03-15,24,5,6380,3455,10,1000,True,55,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_4,A,270,2.8,4.6,3,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair
"Shenzhen kehuitong Technology Co., Ltd.",F200,2389061,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
HAMMER,CONSTRUCTION 2 THERMAL 5G,2347545,SMARTPHONE,A,B,3.47,2024-10-02,24,5,6500,4170,10,1000,False,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_7,A,435,4.2,4.8,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.mptech.eu/support,https://www.mptech.eu/support
ulefone,Armor  22 ,2393886,SMARTPHONE,A,C,3.28,2023-09-12,24,5,6600,4368,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3.15,2.2,3.45,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
ulefone,Armor  27T,2393533,SMARTPHONE,A,C,3.2,2024-09-29,24,5,10600,6735,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3.05,2.1,3.15,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
"Shenzhen kehuitong Technology Co., Ltd.",F12pro,2389071,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OSCAL,FLAT 2C,2378038,SMARTPHONE,B,B,3.7,2025-06-04,12,5,5000,3078,11,1100,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,C,90,3.6,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,/,/
realme,RMX3941,2310573,SMARTPHONE,A,B,3.47,2025-01-11,24,6,5660,4182,16,1600,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.2,3.6,3.2,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
"Shenzhen kehuitong Technology Co., Ltd.",M70U,2389064,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Blackview,HERO 10,2396768,SMARTPHONE,B,C,2.66,2025-06-24,24,5,4000,2406,8,800,False,45,USB_C,ANDROID,True,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,D,56,2.05,3.76,4.58,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
ulefone,Armor  Mini 20,2393810,SMARTPHONE,B,B,3.64,2024-12-06,24,5,6200,3522,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.85,4.5,4.05,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
DOOGEE,S119,2406120,SMARTPHONE,E,C,3.16,2025-07-03,12,5,10200,3593,13,1300,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
XGODY,X18(new),2391572,SMARTPHONE,B,B,3.43,2025-06-18,12,5,3750,2038,13,1300,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,D,45,3.75,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Mudita,Kompakt-NAM,2392241,SMARTPHONE,A,D,2.43,2025-05-19,24,5,3300,2408,8,800,True,5,USB_C,OTHER,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,B,200,2.4,3,1.2,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,https://support.mudita.com/en/support/solutions/articles/77000583351-parts-replacement-instructions,https://support.mudita.com/en/support/solutions/articles/77000583349-spare-parts-catalogue
ulefone,Armor  24,2393753,SMARTPHONE,A,B,3.56,2023-10-18,24,5,22000,9999,10,1000,False,66,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3.1,3.2,4.35,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
ZTE,Z2473,2355018,SMARTPHONE,A,B,3.41,2025-06-24,24,5,4900,3363,8,800,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,80,2.9,3.2,3.9,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/blade/zte-blade-a56,https://www.ztedevices.com/en/support/service-center.html
OUKITEL,WP50,2395829,SMARTPHONE,B,C,3.29,2025-06-23,12,5,6500,3674,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.45,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
HMD,TA-1670,2245859,SMARTPHONE,A,A,4.02,2025-04-14,36,5,4900,3673,8,800,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_7,A,270,4.1,5,4,PRIORITY,NO_COST,https://www.hmd.com/en_int/self-repair,https://www.hmd.com/en_int/self-repair
CUBOT,KINGKONG X,2400639,SMARTPHONE,G,C,3.24,2025-06-27,12,5,10200,941,14,1400,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.25,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
