supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
ASUS,ASUSAI2501H,2304129,SMARTPHONE,A,C,2.69,2025-03-01,12,5,2790,3660,12,1200,False,65,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1,MOHS_6,D,45,1.25,4.2,2.7,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,dlcdnets.asus.com/pub/ASUS/ZeSnFone/AI2501/E23583_AI2501_SM_WEB.pdf?model=ROG Phone 9,https://en.accessoires-asus.com/zenfone/
Samsung,SM-S921B/DS,2284555,SMARTPHONE,A,C,3.23,2023-12-27,24,5,3880,2486,20,2000,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.9,3.1,2.65,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
Blackview,N6000 SE,2399949,SMARTPHONE,B,C,2.89,2025-06-26,24,5,3700,2172,8,800,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_7,A,273,2.75,4.5,4.2,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
motorola,Moto Edge 50 (XT2407-1),2047948,SMARTPHONE,B,B,3.89,2024-09-23,24,7,4850,2748,12,1200,True,68,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,2.15,3.1,4.3,PRIORITY,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
Mudita,Kompakt,2383261,SMARTPHONE,A,D,2.43,2025-04-22,24,5,3300,2408,8,800,True,5,USB_C,OTHER,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,B,200,2.4,3,1.2,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,https://support.mudita.com/en/support/solutions/articles/77000583351-parts-replacement-instructions,https://support.mudita.com/en/support/solutions/articles/77000583349-spare-parts-catalogue
CROSSCALL,STELLAR-M6E,2361530,SMARTPHONE,A,B,3.42,2024-09-04,60,5,4330,3372,10,1000,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.9,3,4,PRIORITY,NO_COST,https://www.crosscall.com/fr_FR/userguides/,https://www.crosscall.com/fr_FR/pieces-detachees.html
realme,RMX3997,2398252,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
vivo,V2428,2213330,SMARTPHONE,B,C,2.89,2025-03-01,24,5,5030,2703,10,1000,True,55,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,B,180,2.4,3.3,1,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair
DOOGEE,Note59 Pro+,2402022,SMARTPHONE,C,B,3.36,2025-06-28,12,5,6250,3098,11,1100,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,A,270,3.65,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
REDMAGIC,NX789J,2340827,SMARTPHONE,A,C,2.64,2025-06-10,24,5,3450,4812,12,1200,True,80,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,C,90,2.35,3.6,4.1,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,http://www.redmagic.gg/,http://www.redmagic.gg/
